web-scraper-order,web-scraper-start-url,name,school,image-src,link,link-href
"1668781088-11031","https://www.edx.org/search?tab=course&subject=Engineering","Software Development
Fundamentals","PennX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Software Development
Fundamentals…Schools and Partners: PennX…Course","https://www.edx.org/course/software-development-fundamentals?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=24"
"1668781088-11032","https://www.edx.org/search?tab=course&subject=Engineering","Product Management
with Lean, Agile and
System Design Thinking","BUx","https://prod-discovery.edx-cdn.org/media/course/image/95ed1e7b-ef37-4eb8-aee5-30934fc21318-b0c5d70e583f.jpg","Product Management
with Lean, Agile and
System Design Thinking…Schools and Partners: BUx…Course","https://www.edx.org/course/product-management-with-lean-agile-and-system-desi?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=1"
"1668781088-11033","https://www.edx.org/search?tab=course&subject=Engineering","The Inclusive STEM
Teaching Project","BUx","https://prod-discovery.edx-cdn.org/media/course/image/c9d0677f-ad86-49a0-94ed-87a7f5a4f660-c4988c5947c6.png","The Inclusive STEM
Teaching Project…Schools and Partners: BUx…Course","https://www.edx.org/course/the-inclusive-stem-teaching-project?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=2"
"1668781088-11034","https://www.edx.org/search?tab=course&subject=Engineering","Project Management of
Engineering Projects:
Preparing for Success","DelftX","https://prod-discovery.edx-cdn.org/media/course/image/7d43a19b-19fe-49d1-91bd-292d9af31680-268a416cb9e3.png","Project Management of
Engineering Projects:
Preparing for Success…Schools and Partners: DelftX…Course","https://www.edx.org/course/project-management-of-engineering-projects-prepari?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=3"
"1668781088-11035","https://www.edx.org/search?tab=course&subject=Engineering","Hello (Real) World with
ROS – Robot Operating
System","DelftX","https://prod-discovery.edx-cdn.org/media/course/image/54c2620f-ace4-4d32-809d-69ff203aa38b-228c3d37e14c.png","Hello (Real) World with
ROS – Robot Operating
System…Schools and Partners: DelftX…Course","https://www.edx.org/course/hello-real-world-with-ros-robot-operating-system?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=4"
"1668781088-11036","https://www.edx.org/search?tab=course&subject=Engineering","Convex Optimization","StanfordOnline","https://prod-discovery.edx-cdn.org/media/course/image/4a081c09-82b6-4c2c-b41c-75e995cafef8-8acb7c3ebedb.jpeg","Convex Optimization…Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/convex-optimization?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=5"
"1668781088-11037","https://www.edx.org/search?tab=course&subject=Engineering","Advanced Fluid
Mechanics 1:
Fundamentals","MITx","https://prod-discovery.edx-cdn.org/media/course/image/69eb1e0c-917f-453c-a205-34fc98da1779-c4e771511969.jpeg","Advanced Fluid
Mechanics 1:
Fundamentals…Schools and Partners: MITx…Course","https://www.edx.org/course/advanced-fluid-mechanics-1?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=6"
"1668781088-11038","https://www.edx.org/search?tab=course&subject=Engineering","Introduction to
Aerodynamics","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introduction to
Aerodynamics…Schools and Partners: MITx…Course","https://www.edx.org/course/introduction-to-aerodynamics-2?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=7"
"1668781088-11039","https://www.edx.org/search?tab=course&subject=Engineering","Manufacturing Process
Control I","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Manufacturing Process
Control I…Schools and Partners: MITx…Course","https://www.edx.org/course/manufacturing-process-control-i?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=8"
"1668781088-11040","https://www.edx.org/search?tab=course&subject=Engineering","The Mechatronics
Revolution: Fundamentals
and Core Concepts","GTx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","The Mechatronics
Revolution: Fundamentals
and Core Concepts…Schools and Partners: GTx…Course","https://www.edx.org/course/mechatronics?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=9"
"1668781088-11041","https://www.edx.org/search?tab=course&subject=Engineering","Management in
Engineering: Accounting
and Planning","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Management in
Engineering: Accounting
and Planning…Schools and Partners: MITx…Course","https://www.edx.org/course/management-in-engineering-i?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=10"
"1668781088-11042","https://www.edx.org/search?tab=course&subject=Engineering","Fundamentals of
Manufacturing Processes","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentals of
Manufacturing Processes…Schools and Partners: MITx…Course","https://www.edx.org/course/fundamentals-of-manufacturing-processes?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=11"
"1668781088-11043","https://www.edx.org/search?tab=course&subject=Engineering","Introducción a los
encofrados y las cimbras
en obra civil y edificación","UPValenciaX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introducción a los
encofrados y las cimbras
en obra civil y edificación…Schools and Partners: UPValenciaX…Course","https://www.edx.org/course/introduccion-a-los-encofrados-y-las-cimbras-en-obr?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=12"
"1668781088-11044","https://www.edx.org/search?tab=course&subject=Engineering","Model-Based Automotive
Systems Engineering","ChalmersX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Model-Based Automotive
Systems Engineering…Schools and Partners: ChalmersX…Course","https://www.edx.org/course/model-based-automotive-systems-engineering?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=13"
"1668781088-11045","https://www.edx.org/search?tab=course&subject=Engineering","LaTeX for Students,
Engineers, and Scientists","IITBombayX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","LaTeX for Students,
Engineers, and Scientists…Schools and Partners: IITBombayX…Course","https://www.edx.org/course/latex-for-students-engineers-and-scientists-2?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=14"
"1668781088-11046","https://www.edx.org/search?tab=course&subject=Engineering","Principles of Synthetic
Biology","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Principles of Synthetic
Biology…Schools and Partners: MITx…Course","https://www.edx.org/course/principles-of-synthetic-biology?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=15"
"1668781088-11047","https://www.edx.org/search?tab=course&subject=Engineering","Data Structures and
Software Design","PennX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Data Structures and
Software Design…Schools and Partners: PennX…Course","https://www.edx.org/course/data-structures-and-software-design?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=16"
"1668781088-11048","https://www.edx.org/search?tab=course&subject=Engineering","Signals and Systems, Part
1","IITBombayX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Signals and Systems, Part
1…Schools and Partners: IITBombayX…Course","https://www.edx.org/course/signals-and-systems-part-1?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=17"
"1668781088-11049","https://www.edx.org/search?tab=course&subject=Engineering","Electric and Conventional
Vehicles","ChalmersX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Electric and Conventional
Vehicles…Schools and Partners: ChalmersX…Course","https://www.edx.org/course/electric-and-conventional-vehicles?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=18"
"1668781088-11050","https://www.edx.org/search?tab=course&subject=Engineering","Algorithm Design and
Analysis","PennX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Algorithm Design and
Analysis…Schools and Partners: PennX…Course","https://www.edx.org/course/algorithm-design-and-analysis?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=19"
"1668781088-11051","https://www.edx.org/search?tab=course&subject=Engineering","So You Want to Be a
Biomedical Engineer","UCSanDiegoX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","So You Want to Be a
Biomedical Engineer…Schools and Partners: UCSanDiegoX…Course","https://www.edx.org/course/so-you-want-to-be-a-biomedical-engineer?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=20"
"1668781088-11052","https://www.edx.org/search?tab=course&subject=Engineering","Fundamentals of Building
Information Modeling","PurdueX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentals of Building
Information Modeling…Schools and Partners: PurdueX…Course","https://www.edx.org/course/fundamentals-of-building-information-modeling?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=21"
"1668781088-11053","https://www.edx.org/search?tab=course&subject=Engineering","BIM for Construction","PurdueX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","BIM for Construction…Schools and Partners: PurdueX…Course","https://www.edx.org/course/bim-for-construction?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=22"
"1668781088-11054","https://www.edx.org/search?tab=course&subject=Engineering","Discrete-Time Signal
Processing","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Discrete-Time Signal
Processing…Schools and Partners: MITx…Course","https://www.edx.org/course/discrete-time-signal-processing-4?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=23"
"1668781088-11055","https://www.edx.org/search?tab=course&subject=Engineering","Hybrid Vehicles","ChalmersX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Hybrid Vehicles…Schools and Partners: ChalmersX…Course","https://www.edx.org/course/hybrid-vehicles?index=product_value_experiment_a&queryID=a9d02e058a9aa166dfef5c00a2ba9619&position=24"
"1668781088-11056","https://www.edx.org/search?tab=course&subject=Engineering","Engineering the Space
Shuttle","MITx","https://prod-discovery.edx-cdn.org/media/course/image/65deb012-00d8-49c7-abd1-add318ed12bb-20d18f7523a6.jpeg","Engineering the Space
Shuttle…Schools and Partners: MITx…Course","https://www.edx.org/course/engineering-the-space-shuttles?index=product_value_experiment_a&queryID=c81218194a0877b197de087038eddd47&position=1"
