web-scraper-order,web-scraper-start-url,name,description,image-src,link,link-href,rating,review-count
"1668875189-46531","https://www.udacity.com/courses/all?field=school-of-programming","UX Design for Mobile Developers","This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud849_thumbnail.jpg","freeUX Design for Mobile DevelopersThis is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.Skills CoveredAndroid, UX Design, User-Centered DesignView more +Program Detailsbeginner6 WeeksIn collaboration with:GoogleProgram DetailsIn collaboration with:Google","https://www.udacity.com/course/ux-design-for-mobile-developers--ud849","null","null"
"1668875189-46532","https://www.udacity.com/courses/all?field=school-of-programming","Software Development Process","Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud805_thumbnail.jpg","freeSoftware Development ProcessSoftware Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.Skills CoveredSoftware Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development MethodologyView more +Program Detailsintermediate3 MonthsIn collaboration with:Georgia Institute of TechnologyProgram DetailsIn collaboration with:Georgia Institute of Technology","https://www.udacity.com/course/software-development-process--ud805","null","null"
"1668875189-46533","https://www.udacity.com/courses/all?field=school-of-programming","Data Visualization in Tableau","Learn the fundamentals of data visualization and practice communicating with data.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1006_thumbnail.jpg","freeData Visualization in TableauLearn the fundamentals of data visualization and practice communicating with data.Skills CoveredTableau, Design of Visualizations, Visual EncodingsView more +Program Detailsbeginner3 WeeksProgram Details","https://www.udacity.com/course/data-visualization-in-tableau--ud1006","null","null"
"1668875189-46534","https://www.udacity.com/courses/all?field=school-of-programming","Intro to Progressive Web Apps","In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud811_thumbnail.jpg","freeIntro to Progressive Web AppsIn this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!Skills CoveredProgressive Web Apps, Service Workers, Web App Manifest, Offline appsView more +Program Detailsintermediate2 WeeksIn collaboration with:GoogleProgram DetailsIn collaboration with:Google","https://www.udacity.com/course/intro-to-progressive-web-apps--ud811","null","null"
"1668875189-46535","https://www.udacity.com/courses/all?field=school-of-programming","Writing READMEs","Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud777_thumbnail.jpg","freeWriting READMEsDocumentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!Skills CoveredREADME, Markdown, Making code easier to readView more +Program Detailsbeginner3 DaysProgram Details","https://www.udacity.com/course/writing-readmes--ud777","null","null"
"1668875189-46536","https://www.udacity.com/courses/all?field=school-of-programming","Software Analysis & Testing","This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud333_thumbnail.jpg","freeSoftware Analysis & TestingThis course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.Skills CoveredSoftware Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic ExecutionView more +Program Detailsintermediate16 WeeksIn collaboration with:Georgia Institute of TechnologyProgram DetailsIn collaboration with:Georgia Institute of Technology","https://www.udacity.com/course/software-analysis-testing--ud333","null","null"
"1668875189-46537","https://www.udacity.com/courses/all?field=school-of-programming","iOS Persistence and Core Data","Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud325_thumbnail.jpg","freeiOS Persistence and Core DataPersisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.Skills CoveredData Persistence, Core Data, UserDefaults, FileManagerView more +Program Detailsadvanced2 MonthsProgram Details","https://www.udacity.com/course/ios-persistence-and-core-data--ud325","null","null"
"1668875189-46538","https://www.udacity.com/courses/all?field=school-of-programming","Computer Networking","This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud436_thumbnail.jpg","freeComputer NetworkingThis is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.Skills CoveredSoftware-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic ShapingView more +Program Detailsintermediate3 MonthsIn collaboration with:Georgia Institute of TechnologyProgram DetailsIn collaboration with:Georgia Institute of Technology","https://www.udacity.com/course/computer-networking--ud436","null","null"
"1668875189-46539","https://www.udacity.com/courses/all?field=school-of-programming","Firebase Analytics: iOS","Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud353_thumbnail.jpg","freeFirebase Analytics: iOSLearn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solutionSkills CoveredAndroid Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic LinksView more +Program Detailsintermediate1 DayIn collaboration with:GoogleProgram DetailsIn collaboration with:Google","https://www.udacity.com/course/firebase-analytics-ios--ud353","null","null"
"1668875189-46540","https://www.udacity.com/courses/all?field=school-of-programming","Human-Computer Interaction","This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud400_thumbnail.jpg","freeHuman-Computer InteractionThis course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.Skills CoveredDesign Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, PrototypingView more +Program Detailsintermediate16 WeeksIn collaboration with:Georgia Institute of TechnologyProgram DetailsIn collaboration with:Georgia Institute of Technology","https://www.udacity.com/course/human-computer-interaction--ud400","null","null"
